Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,ABE -> ATL,2034,-19.0,597.0,9.42,0.0138,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS -> ATL,3160,-18.0,1083.0,12.46,0.0209,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS -> AUS,4,31.0,90.0,60.5,0.0,4
9E,AGS -> LGA,22,-8.0,51.0,2.18,0.0,4
9E,ALB -> LGA,1308,-25.0,1146.0,5.03,0.0291,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ATW,14,-15.0,4.0,-5.43,0.0,1
9E,ATL -> AUS,4,-4.0,-4.0,-4.0,0.0,11
9E,ATL -> AVL,184,-12.0,205.0,5.65,0.0,"1,12,7"
9E,ATL -> BMI,1462,-20.0,946.0,11.23,0.0096,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> BNA,2,2.0,2.0,2.0,0.0,5
9E,ATL -> BTR,1006,-18.0,706.0,5.83,0.0159,"1,10,11,12,2,3,5,6,7,8,9"
9E,ATL -> CHA,2300,-19.0,341.0,5.49,0.007,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> CID,6,13.0,103.0,44.67,0.0,1
9E,ATL -> CLT,154,-10.0,361.0,13.99,0.0,"1,11,12,6"
9E,ATL -> CRW,358,-15.0,92.0,1.25,0.0,"1,10,11,12,3,4,9"
9E,ATL -> CVG,4,-5.0,-4.0,-4.5,0.0,12
9E,ATL -> DAY,372,-14.0,527.0,8.11,0.0054,"1,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> DHN,1072,-22.0,956.0,10.39,0.0037,"1,10,11,12,2,3,4,5,6,9"
9E,ATL -> FAY,700,-17.0,327.0,7.1,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,ATL -> FSD,6,-5.0,-3.0,-4.0,0.0,1
9E,ATL -> GPT,110,-11.0,161.0,8.15,0.0,"1,11,12,4"
9E,ATL -> GSP,152,-8.0,107.0,4.45,0.0,"1,11,12,3,4,6,7,8,9"
9E,ATL -> HPN,1840,-15.0,284.0,4.74,0.0109,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ICT,312,-16.0,225.0,6.1,0.0,"1,11,12,2,3"
9E,ATL -> ILM,1094,-15.0,395.0,4.68,0.0055,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> LFT,1604,-24.0,664.0,6.53,0.0112,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> LIT,170,-12.0,174.0,11.35,0.0118,"1,10,11,12,2,3,4,6,7,8,9"
9E,ATL -> MDT,456,-14.0,342.0,7.32,0.0132,"1,11,12,2,3,4,5"
9E,ATL -> MEM,16,-4.0,17.0,0.5,0.0,12
9E,ATL -> MGM,1844,-20.0,589.0,4.68,0.0065,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MLI,1456,-18.0,678.0,7.53,0.0192,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MOB,1542,-14.0,704.0,5.28,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MSN,64,-12.0,24.0,0.23,0.0313,"1,11,12"
9E,ATL -> OAJ,1096,-16.0,974.0,8.07,0.0,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ROA,1260,-13.0,800.0,6.29,0.0111,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> TRI,2262,-16.0,427.0,3.99,0.0071,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> TUL,302,-14.0,169.0,4.02,0.0,"1,12,2,3,4,5,6"
