Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,ABE -> ATL,1017,-19.0,597.0,9.42,0.0138,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS -> ATL,1580,-18.0,1083.0,12.46,0.0209,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,AGS -> AUS,2,31.0,90.0,60.5,0.0,4
9E,AGS -> LGA,11,-8.0,51.0,2.18,0.0,4
9E,ALB -> LGA,654,-25.0,1146.0,5.03,0.0291,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ATW,7,-15.0,4.0,-5.43,0.0,1
9E,ATL -> AUS,2,-4.0,-4.0,-4.0,0.0,11
9E,ATL -> AVL,92,-12.0,205.0,5.65,0.0,"1,12,7"
9E,ATL -> BMI,731,-20.0,946.0,11.23,0.0096,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> BNA,1,2.0,2.0,2.0,0.0,5
9E,ATL -> BTR,503,-18.0,706.0,5.83,0.0159,"1,10,11,12,2,3,5,6,7,8,9"
9E,ATL -> CHA,1150,-19.0,341.0,5.49,0.007,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> CID,3,13.0,103.0,44.67,0.0,1
9E,ATL -> CLT,77,-10.0,361.0,13.99,0.0,"1,11,12,6"
9E,ATL -> CRW,179,-15.0,92.0,1.25,0.0,"1,10,11,12,3,4,9"
9E,ATL -> CVG,2,-5.0,-4.0,-4.5,0.0,12
9E,ATL -> DAY,186,-14.0,527.0,8.11,0.0054,"1,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> DHN,536,-22.0,956.0,10.39,0.0037,"1,10,11,12,2,3,4,5,6,9"
9E,ATL -> FAY,350,-17.0,327.0,7.1,0.0,"1,10,11,12,2,3,4,5,6,9"
9E,ATL -> FSD,3,-5.0,-3.0,-4.0,0.0,1
9E,ATL -> GPT,55,-11.0,161.0,8.15,0.0,"1,11,12,4"
9E,ATL -> GSP,76,-8.0,107.0,4.45,0.0,"1,11,12,3,4,6,7,8,9"
9E,ATL -> HPN,920,-15.0,284.0,4.74,0.0109,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ICT,156,-16.0,225.0,6.1,0.0,"1,11,12,2,3"
9E,ATL -> ILM,547,-15.0,395.0,4.68,0.0055,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> LFT,802,-24.0,664.0,6.53,0.0112,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> LIT,85,-12.0,174.0,11.35,0.0118,"1,10,11,12,2,3,4,6,7,8,9"
9E,ATL -> MDT,228,-14.0,342.0,7.32,0.0132,"1,11,12,2,3,4,5"
9E,ATL -> MEM,8,-4.0,17.0,0.5,0.0,12
9E,ATL -> MGM,922,-20.0,589.0,4.68,0.0065,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MLI,728,-18.0,678.0,7.53,0.0192,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MOB,771,-14.0,704.0,5.28,0.0091,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> MSN,32,-12.0,24.0,0.23,0.0313,"1,11,12"
9E,ATL -> OAJ,548,-16.0,974.0,8.07,0.0,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> ROA,630,-13.0,800.0,6.29,0.0111,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> TRI,1131,-16.0,427.0,3.99,0.0071,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> TUL,151,-14.0,169.0,4.02,0.0,"1,12,2,3,4,5,6"
9E,ATL -> VLD,721,-20.0,872.0,9.1,0.0222,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATL -> VPS,21,-7.0,48.0,-0.05,0.0476,"1,10,2,3,9"
9E,ATL -> XNA,1171,-20.0,773.0,5.39,0.0068,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,ATW -> ATL,8,-5.0,152.0,29.75,0.0,1
9E,AUS -> AGS,2,-10.0,49.0,19.5,0.0,4
9E,AUS -> GNV,1,-2.0,-2.0,-2.0,0.0,11
9E,AUS -> XNA,1,-1.0,-1.0,-1.0,0.0,11
9E,AZO -> DTW,14,-14.0,87.0,2.64,0.0,1
9E,BDL -> DTW,122,-11.0,293.0,9.08,0.0082,"1,10,2,3,4,5,6,7"
9E,BDL -> MSP,8,-11.0,6.0,-5.25,0.0,"12,3,4,6,7"
9E,BGR -> JFK,358,-17.0,435.0,5.79,0.0363,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BHM -> LGA,938,-22.0,375.0,5.92,0.0384,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BIS -> MSP,10,-14.0,78.0,1.6,0.0,"7,8,9"
9E,BNA -> ATL,1,90.0,90.0,90.0,0.0,5
9E,BNA -> EYW,1,-10.0,-10.0,-10.0,0.0,5
9E,BNA -> JFK,170,-16.0,917.0,25.17,0.0412,"1,2,3,4,5,6"
9E,BNA -> RDU,530,-34.0,1117.0,16.15,0.0132,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,BOS -> CLT,1,,,,1.0,1
9E,BQK -> ATL,142,-22.0,469.0,7.49,0.0,"11,12,3,4,6,7"
9E,BTR -> ATL,502,-17.0,1020.0,9.59,0.0179,"1,10,11,12,2,3,5,6,7,8,9"
9E,BUF -> DTW,210,-21.0,203.0,1.74,0.0095,"1,10,11,12,3,4,5,6,7,8,9"
9E,BWI -> JFK,500,-13.0,501.0,18.5,0.056,"1,10,2,3,4,5,6,7,8,9"
9E,CAE -> ATL,708,-15.0,559.0,8.1,0.0071,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CAE -> OKC,1,21.0,21.0,21.0,0.0,10
9E,CHA -> ATL,1148,-20.0,1079.0,8.63,0.007,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CHA -> DTW,323,-21.0,348.0,9.8,0.0062,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CHA -> LGA,63,-13.0,324.0,8.59,0.0,"10,11,12"
9E,CHO -> LGA,918,-20.0,1090.0,10.22,0.0414,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CHS -> JFK,967,-17.0,851.0,7.54,0.0414,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CID -> MSP,156,-13.0,133.0,0.19,0.0,"1,10,11,4,5,9"
9E,CLE -> DTW,529,-21.0,987.0,5.87,0.0113,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLE -> JFK,672,-17.0,991.0,14.06,0.0283,"1,10,11,12,2,3,4,5,6,7,8,9"
9E,CLE -> MSP,261,-15.0,795.0,9.62,0.0038,"1,10,11,12,2,3,4,5,6,8"
