Compagnia,Tratta,Voli,Min,Max,Medio,Cancellazioni,Mesi
9E,ABE -> ATL,513,-19.0,459.0,8.86,0.0058,"1,2,3,4,5,6,7"
9E,AGS -> ATL,741,-17.0,780.0,9.77,0.0,"1,2,3,4,5,6,7"
9E,AGS -> AUS,2,31.0,90.0,60.5,0.0,4
9E,AGS -> LGA,11,-8.0,51.0,2.18,0.0,4
9E,ALB -> LGA,337,-25.0,1146.0,6.09,0.0267,"1,2,3,4,5,6,7"
9E,ATL -> ATW,7,-15.0,4.0,-5.43,0.0,1
9E,ATL -> AVL,17,-6.0,0.0,-3.06,0.0,1
9E,ATL -> BMI,368,-20.0,946.0,15.63,0.0054,"1,2,3,4,5,6,7"
9E,ATL -> BNA,1,2.0,2.0,2.0,0.0,5
9E,ATL -> BTR,271,-18.0,614.0,6.45,0.0148,"1,2,3,5,6"
9E,ATL -> CHA,397,-19.0,199.0,4.77,0.005,"1,2,3,4,5,6,7"
9E,ATL -> CID,3,13.0,103.0,44.67,0.0,1
9E,ATL -> CLT,17,-10.0,23.0,-0.53,0.0,"1,6"
9E,ATL -> CRW,100,-15.0,60.0,-2.1,0.0,"1,3,4"
9E,ATL -> DAY,126,-14.0,288.0,1.45,0.0,"1,2,3,4,5,6"
9E,ATL -> DHN,259,-18.0,956.0,13.88,0.0,"1,2,3,4,5,6"
9E,ATL -> FAY,119,-15.0,118.0,3.06,0.0,"1,2,3,4,5,6"
9E,ATL -> FSD,3,-5.0,-3.0,-4.0,0.0,1
9E,ATL -> GPT,18,-6.0,52.0,2.11,0.0,"1,4"
9E,ATL -> GSP,58,-8.0,78.0,3.97,0.0,"1,3,4,6"
9E,ATL -> HPN,463,-12.0,284.0,4.4,0.0043,"1,2,3,4,5,6,7"
9E,ATL -> ICT,118,-16.0,83.0,3.97,0.0,"1,2,3"
9E,ATL -> ILM,257,-15.0,395.0,3.55,0.0,"1,2,3,4,5,6,7"
9E,ATL -> LFT,450,-24.0,664.0,6.82,0.0111,"1,2,3,4,5,6,7"
9E,ATL -> LIT,49,-8.0,174.0,14.75,0.0204,"1,2,3,4,6"
9E,ATL -> MDT,184,-14.0,263.0,4.55,0.0163,"1,2,3,4,5"
9E,ATL -> MGM,300,-20.0,143.0,3.99,0.0,"1,2,3,4,5,6,7"
9E,ATL -> MLI,368,-18.0,678.0,9.74,0.0109,"1,2,3,4,5,6,7"
9E,ATL -> MOB,334,-14.0,380.0,4.05,0.003,"1,2,3,4,5,6,7"
9E,ATL -> MSN,9,-9.0,10.0,-2.11,0.0,1
9E,ATL -> OAJ,189,-16.0,165.0,3.33,0.0,"1,2,3,4,5,6,7"
9E,ATL -> ROA,334,-13.0,308.0,6.38,0.006,"1,2,3,4,5,6,7"
9E,ATL -> TRI,518,-16.0,211.0,1.15,0.0058,"1,2,3,4,5,6,7"
9E,ATL -> TUL,135,-14.0,169.0,4.73,0.0,"1,2,3,4,5,6"
9E,ATL -> VLD,308,-20.0,228.0,4.34,0.0032,"1,2,3,4,5,6,7"
9E,ATL -> VPS,5,-5.0,48.0,6.4,0.0,"1,2,3"
9E,ATL -> XNA,459,-20.0,515.0,2.48,0.0044,"1,2,3,4,5,6,7"
9E,ATW -> ATL,8,-5.0,152.0,29.75,0.0,1
9E,AUS -> AGS,2,-10.0,49.0,19.5,0.0,4
9E,AZO -> DTW,14,-14.0,87.0,2.64,0.0,1
9E,BDL -> DTW,116,-11.0,293.0,8.67,0.0086,"1,2,3,4,5,6,7"
9E,BDL -> MSP,5,-11.0,-4.0,-7.2,0.0,"3,4,6"
9E,BGR -> JFK,176,-14.0,435.0,6.63,0.0341,"1,2,3,4,5,6,7"
9E,BHM -> LGA,464,-22.0,347.0,6.24,0.0366,"1,2,3,4,5,6,7"
9E,BNA -> ATL,1,90.0,90.0,90.0,0.0,5
9E,BNA -> EYW,1,-10.0,-10.0,-10.0,0.0,5
9E,BNA -> JFK,170,-16.0,917.0,25.17,0.0412,"1,2,3,4,5,6"
9E,BNA -> RDU,258,-20.0,1117.0,13.58,0.0039,"1,2,3,4,5,6,7"
9E,BOS -> CLT,1,,,,1.0,1
9E,BQK -> ATL,64,-15.0,176.0,1.72,0.0,"3,4,6"
9E,BTR -> ATL,271,-17.0,1020.0,8.46,0.0185,"1,2,3,5,6"
9E,BUF -> DTW,120,-16.0,115.0,-0.51,0.0083,"1,3,4,5,6"
9E,BWI -> JFK,273,-11.0,501.0,18.19,0.0366,"1,2,3,4,5,6,7"
9E,CAE -> ATL,282,-13.0,534.0,9.27,0.0035,"1,2,3,4,5,6,7"
9E,CHA -> ATL,396,-16.0,383.0,9.29,0.0051,"1,2,3,4,5,6,7"
9E,CHA -> DTW,145,-11.0,238.0,9.58,0.0069,"1,2,3,4,5,6"
9E,CHO -> LGA,464,-20.0,1090.0,11.2,0.0409,"1,2,3,4,5,6,7"
9E,CHS -> JFK,455,-17.0,851.0,9.89,0.0374,"1,2,3,4,5,6,7"
9E,CID -> MSP,46,-13.0,133.0,4.22,0.0,"1,4,5"
9E,CLE -> DTW,271,-20.0,183.0,6.12,0.0,"1,2,3,4,5,6"
9E,CLE -> JFK,412,-17.0,806.0,12.58,0.0218,"1,2,3,4,5,6,7"
9E,CLE -> MSP,150,-15.0,233.0,7.66,0.0067,"1,2,3,4,5,6"
9E,CLT -> ATL,17,-10.0,180.0,7.71,0.0,"1,6"
9E,CLT -> DTW,117,-18.0,403.0,4.85,0.0,"1,2,3,4,5,6"
9E,CLT -> LGA,688,-17.0,471.0,8.98,0.0392,"1,2,3,4,5,6,7"
9E,CMH -> LGA,5,-10.0,22.0,-1.8,0.0,"3,4"
9E,CVG -> DCA,506,-20.0,239.0,5.17,0.0079,"1,2,3,4,5,6,7"
9E,CVG -> DTW,570,-13.0,394.0,8.06,0.0035,"1,2,3,4,5,6,7"
9E,CVG -> EWR,410,-16.0,238.0,9.32,0.0317,"1,2,3,4,5,6,7"
9E,CVG -> FLL,7,-10.0,24.0,6.71,0.0,1
